train_loss,train_mae,val_loss,val_mae
3123.4201536316805,54.63801060552182,,
856.1228606735451,27.201090812683105,2220.595166015625,46.76946792602539
143.6085517441017,10.035778024922246,510.86072998046876,21.9255126953125
60.415330251057945,6.276734511057536,144.04514770507814,10.884109497070312
52.98076436139535,5.781708040099213,67.013916015625,6.825758075714111
52.23030973517376,5.772627471149832,53.462332534790036,6.020240020751953
51.588458931964375,5.695937588594962,55.82190856933594,6.154300212860107
51.52510385927947,5.759236449780672,30.58878173828125,4.516127109527588
50.537393680517226,5.656466173089069,32.174088096618654,4.627034425735474
49.50139264092929,5.602396951205488,27.898886108398436,4.325732660293579
49.35293808536253,5.58922406901484,276.6505615234375,15.894473838806153
48.26257219176362,5.540276323539623,38.87435035705566,5.020019102096557
48.30137440778207,5.507637873939846,33.539276885986325,4.692204570770263
48.243633049121804,5.523086257602857,35.156815719604495,4.7893938541412355
47.7767448425293,5.482780936835469,29.08047752380371,4.399771642684937
48.34867675062539,5.537165334259254,41.28850135803223,5.1594091892242435
48.311679812445156,5.521153930304707,49.53137702941895,5.721692276000977
47.80889494522758,5.495756546656291,33.451212310791014,4.673825359344482
47.74103612485139,5.492804648219675,28.039227294921876,4.327559947967529
47.253274889959805,5.485685714776965,31.569381332397462,4.548239803314209
46.6205898506054,5.412139947863593,29.38287773132324,4.403951978683471
46.420806525410086,5.404781227526457,33.453522491455075,4.663711929321289
46.91827171436255,5.4318098607270615,33.99197196960449,4.697660064697265
47.00003231435582,5.435700098673503,35.29302749633789,4.781905698776245
46.32200630851414,5.414012660150942,32.85134506225586,4.623349046707153
47.80097966954328,5.490145227183467,32.237524795532224,4.584398078918457
46.58013136490531,5.4125447618788565,36.38829460144043,4.850809812545776
47.17724802874137,5.454894494319308,32.53775825500488,4.602016258239746
46.58889610179956,5.433705198592034,31.441770935058592,4.530634164810181
46.58210710166157,5.43316446179929,32.168599700927736,4.577747821807861
