train_loss,train_mae,val_loss,val_mae
24.6324054640953,4.23730500298317,,
24.350696120599302,4.224351316991479,21.12659266899372,3.874339013264097
24.09524687372073,4.20461880558669,20.774888564800396,3.8393729061915955
23.780134557473538,4.186279718321983,20.144521483059588,3.7757634705510634
23.4981831926288,4.166810695571129,19.891587257385254,3.7591594169879783
23.24053381428574,4.153275814923373,18.585504597630994,3.613924766408986
22.82852297118216,4.118275644803288,19.037501729767897,3.6744649245821197
22.550456711740203,4.0966715595938945,17.782497290907234,3.5400361932557205
22.29587405618995,4.076988396018442,18.586831191490436,3.6312028868445037
22.05116530139037,4.05652613832493,17.116453105005725,3.4704063596396613
21.672566789569277,4.031437996662024,16.478445760134992,3.4055182769380767
21.285363871641835,3.9969481795725197,15.943167505593136,3.3476533560917296
20.963766541143862,3.9707390154250946,15.827331477198108,3.33565327216839
20.758760047681402,3.946233802371555,14.981122806154449,3.2306404524836045
20.46411390015573,3.922833856910166,14.939139481248526,3.219418139293276
20.09108156628079,3.8885022173024186,14.737157953196558,3.208892485191082
19.77433688231189,3.860562148720327,14.10788869857788,3.122258819382766
19.85164704467311,3.863111394824404,14.167739374884244,3.1324899689904573
19.225412031616827,3.8032677486689406,13.118687629699707,2.992899302778573
18.968652922697743,3.78135808790573,13.182301948810446,2.997893053909828
18.999885188208687,3.772801885701189,12.262920889361151,2.876264161077039
18.072679654516357,3.686658603976471,12.74474259080558,2.961404352352537
18.005621259862725,3.685944687236439,13.335544109344482,3.0374083930048448
17.493131806152036,3.629121456483398,11.939097289381357,2.8325865597560487
17.451749059889053,3.6148542322293675,10.73494419558295,2.6924925425956987
17.260815297714387,3.60177499356896,11.544991641209043,2.7911675469628694
17.092886577952992,3.5883497360980874,11.44972906441524,2.78879922833936
16.78176831717443,3.5529711487317326,11.744688017614957,2.835774672442469
16.203944437431566,3.4949629029842337,11.235044339607501,2.7206046745694916
16.03699891735809,3.472376984779281,10.056221953753766,2.59306813930643
15.364057589058925,3.366539068896361,11.661403787547144,2.8145957157529633
14.736049931458753,3.325677023993598,10.89482960207709,2.7110513366501907
14.916609783365269,3.328221548687328,9.341725045237048,2.4738353778576028
14.712930847900083,3.3047787769876344,10.576659251903665,2.6687992276816535
14.46457835881397,3.2679183711909285,9.805320542434167,2.5528353740429055
